rank,lemma,primary_drift_mean,slice_presence_ratio,total_frequency
3438,democracia,0.20556188523769378,1.0,53424
3356,economia,0.2185487389564514,1.0,69704
3105,ditadura,0.24370768666267395,1.0,14549
3024,milícia,0.24906478226184844,0.8095238095238095,2332
2883,liberdade,0.25712029039859774,1.0,29550
2784,corrupção,0.2619535833597183,1.0,34158
2592,orçamento,0.27013415694236753,0.8571428571428571,1551
2332,cpi,0.2818704456090927,1.0,21452
2194,previdência,0.28685236871242525,1.0,5929
1536,governo,0.3121419847011566,1.0,9694
777,golpe,0.3476489931344986,1.0,20190
715,governante,0.35270287096500397,1.0,6559
